"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CLYBL",7.91696810349079e-08,0.121960081190331,0.172,0.084,0.00167277619058657
"ZBTB33",7.92242736653105e-08,0.16191568904364,0.526,0.381,0.00167392967827435
"AC010980.1",7.9766941068346e-08,0.090845163799443,0.105,0.039,0.00168539569783308
"TMEM125",8.0554303988579e-08,0.17536160992119,0.537,0.391,0.00170203188897469
"MIB1",8.05637249888342e-08,0.202596457158915,0.566,0.426,0.00170223094528908
"ATG16L2",8.18344526945361e-08,0.151241395829301,0.459,0.317,0.00172908015098285
"BLM",8.24711567499742e-08,0.122141035535879,0.205,0.108,0.0017425330709702
"CMTR1",8.30004585535697e-08,-0.221798746908406,0.671,0.748,0.00175371668877837
"GCAT",8.36228083104651e-08,-0.219197125491814,0.291,0.417,0.00176686631679182
"INF2",8.40758230502658e-08,0.173469542921339,0.872,0.797,0.00177643806522907
"EXOSC3",8.40847532955091e-08,-0.270236680904065,0.637,0.698,0.00177662675238081
"CD300A",8.47298566798128e-08,0.123148176540877,0.189,0.096,0.00179025714178776
"LONP1",8.49969968840823e-08,-0.208087394870712,0.841,0.891,0.00179590154716378
"TCF7L2",8.51341030320826e-08,0.15541279962322,0.409,0.272,0.00179879846296487
"ZNF442",8.55041279536356e-08,-0.180367757720413,0.157,0.277,0.00180661671953237
"CCDC47",8.55132419829053e-08,-0.219890642557818,0.73,0.798,0.00180680928985681
"KIF13B",8.56748370554145e-08,0.16256135685824,0.532,0.383,0.00181022363214385
"SPIN4",8.60972080763943e-08,0.140001381802449,0.306,0.186,0.00181914790944614
"FBL",8.63659942158834e-08,0.165911813191788,0.962,0.94,0.0018248270917874
"SNHG1",8.74906637792271e-08,0.182443005592368,0.581,0.443,0.00184859023499129
"MFSD11",8.76092253045128e-08,-0.224472395344738,0.384,0.506,0.00185109532145905
"FGD5",8.83587595777446e-08,0.114939973312967,0.189,0.096,0.00186693223111817
"NEK2",8.85331943101665e-08,0.1781452135461,0.547,0.405,0.00187061786257951
"ADARB1",9.03372108106794e-08,0.16422273093116,0.371,0.245,0.00190873492721885
"ERVK13-1",9.03569110018174e-08,0.143745254964649,0.319,0.198,0.0019091511725574
"MARCKS",9.14032150405104e-08,-0.20834558396986,0.771,0.843,0.00193125853059094
"TXNRD1",9.14724466122739e-08,0.188212524298696,0.715,0.591,0.00193272132447074
"CBX7",9.21710078396751e-08,0.143945287553865,0.323,0.202,0.00194748122464449
"TCHH",9.28164140031637e-08,0.105654771516953,0.178,0.088,0.00196111801147285
"CHD8",9.29176055653287e-08,-0.227997656378897,0.608,0.698,0.00196325608798983
"SYNE2",9.33111155115501e-08,0.180514858729509,0.539,0.397,0.00197157055964354
"SMARCD1",9.36096489835387e-08,0.183249900030438,0.736,0.603,0.00197787827337319
"WDR76",9.36632113765462e-08,0.136792383735612,0.363,0.234,0.00197900999317504
"BUB1",9.38537880630803e-08,0.147626299218366,0.367,0.239,0.00198303668798482
"CDK13",9.45632188917184e-08,0.187275006825794,0.633,0.489,0.00199802625196312
"SORCS2",9.49495595798247e-08,0.0985023785915844,0.122,0.05,0.00200618924436212
"RO60",9.49591410470019e-08,-0.216110391881152,0.287,0.41,0.0020063916911821
"MAGIX",9.52789828661163e-08,0.165060154533846,0.451,0.315,0.00201314962897817
"SIRT5",9.55095189698429e-08,-0.223688675527064,0.423,0.54,0.00201802062631381
"ITGB1",9.59544671756497e-08,0.185382289663667,0.987,0.98,0.0020274219369543
"HMBS",9.64007314032244e-08,0.156258878752967,0.44,0.301,0.00203685105381873
"PRPF19",9.71796105997091e-08,0.195542229592856,0.795,0.716,0.00205330799236125
"FABP4",9.75808637952154e-08,0.240501546147242,0.182,0.094,0.00206178607112911
"PARPBP",9.78950093300082e-08,0.1121623640843,0.205,0.107,0.00206842365213374
"YTHDF3",9.80226755723055e-08,0.177879876673391,0.866,0.803,0.00207112111216724
"PIDD1",9.87039573892881e-08,0.181522837932381,0.639,0.493,0.00208551591567827
"JMJD8",9.90030935704693e-08,0.214071896377664,0.78,0.687,0.00209183636405045
"FHOD1",9.98772796803137e-08,0.175306707496208,0.526,0.384,0.00211030704236535
"FAM160B1",1.00100238006671e-07,0.171665340422086,0.426,0.294,0.00211501792884296
"SPG7",1.00691713406612e-07,-0.215819271879038,0.788,0.863,0.00212751521256831
"NLRC5",1.00815518068886e-07,-0.274073069808664,0.522,0.612,0.00213013108127749
"SLC35A4",1.00980528541255e-07,0.19032573826602,0.897,0.832,0.00213361758754818
"PXN-AS1",1.01884744206568e-07,0.155284666638048,0.312,0.195,0.00215272276034057
"RBM15",1.02601791433284e-07,0.166155831128163,0.4,0.27,0.00216787325119387
"ALKBH4",1.02813646688679e-07,0.132368064294404,0.279,0.165,0.00217234954088509
"CHMP4C",1.03764151749553e-07,-0.229770753442253,0.614,0.687,0.00219243276231632
"CDK2",1.04264616460274e-07,0.193265073878925,0.621,0.482,0.00220300708118913
"PSIP1",1.05333627961156e-07,0.167642165526879,0.491,0.349,0.00222559422519127
"TWF2",1.05975070907314e-07,0.185395009513822,0.694,0.575,0.00223914727320063
"DOP1A",1.07621660164548e-07,0.139915352172079,0.26,0.151,0.00227393805761674
"SLC25A3",1.08243294246666e-07,0.144574816081438,1,0.994,0.0022870725641378
"TMEM201",1.08350205127678e-07,0.152874354515184,0.291,0.178,0.00228933148414271
"AK9",1.08388209270112e-07,0.0955205758610402,0.124,0.051,0.00229013447366821
"CDC25C",1.09359884170172e-07,0.128326308793931,0.208,0.111,0.00231066499263156
"RGS16",1.10571523039209e-07,-0.231876520018929,0.296,0.418,0.00233626571029546
"RTN4R",1.11034043787418e-07,0.140752169234986,0.308,0.19,0.00234603831118435
"SLX4",1.11150438922877e-07,0.141313961319743,0.298,0.182,0.00234849762400147
"NCOA5",1.11229434364481e-07,0.186114617897322,0.616,0.492,0.00235016671868713
"DHRS13",1.11879275945615e-07,-0.23189081467232,0.428,0.537,0.00236389722145489
"RELA",1.12560090528902e-07,0.20618017681555,0.721,0.598,0.00237828215278517
"SLC33A1",1.1310631254097e-07,-0.226680968288152,0.394,0.507,0.00238982327767815
"IRF3",1.13255094672664e-07,0.188537355165598,0.801,0.685,0.00239296689533873
"RPUSD4",1.14374154448809e-07,0.159543424340239,0.346,0.225,0.00241661150934888
"NR2F1",1.14385123615103e-07,0.125801599817636,0.205,0.109,0.0024168432768635
"PRMT9",1.1616847743922e-07,0.116201216068217,0.161,0.078,0.00245452375981328
"SNRPC",1.17316159212523e-07,-0.161091217935477,0.996,0.989,0.00247877312800139
"HIST1H2BH",1.1770301179035e-07,0.0986018782323626,0.128,0.054,0.00248694693611831
"AC105219.1",1.1806897596612e-07,0.118686979370521,0.218,0.118,0.00249467939318815
"TOMM22",1.1833139665106e-07,-0.224334037192589,0.732,0.799,0.00250022407984025
"HOTAIR",1.18580561484344e-07,0.149619869100618,0.423,0.287,0.0025054886836027
"EIF3M",1.19684554616777e-07,0.181533777462249,0.901,0.843,0.00252881495449788
"UBE2Q1",1.20047325785954e-07,0.157800499145437,0.966,0.957,0.00253647994653141
"RTN3",1.20294791905432e-07,0.171947116798155,0.839,0.748,0.00254170865816987
"DTX4",1.20800034560743e-07,0.114267308217118,0.164,0.079,0.00255238393023394
"DALRD3",1.21220179656533e-07,-0.230648260906315,0.801,0.856,0.00256126117596288
"ZHX3",1.22637273510459e-07,0.130890075399828,0.344,0.215,0.00259120295200248
"MRPL10",1.23516715799959e-07,-0.225990080628521,0.679,0.741,0.00260978468813734
"MCCC2",1.23540525366277e-07,-0.208665559079289,0.96,0.975,0.00261028776046408
"ZNF25",1.2357046676567e-07,0.145681797053551,0.291,0.178,0.00261092039229184
"BPIFB1",1.2373227557247e-07,-0.145265153005732,0.063,0.157,0.00261433925057072
"CBR3",1.24240817365066e-07,0.136471900456487,0.277,0.164,0.00262508423010647
"PTPRF",1.2447886599067e-07,0.16234529998568,0.994,0.972,0.00263011395951687
"DUSP5",1.24899459672168e-07,-0.265118712030463,0.403,0.508,0.00263900068341325
